"MCC\p2.omega{rad/s}","MCC\p2.T{N.m}"
174.252135676224,1.3163370000441
174.246927349873,1.32753687746258
174.24201322418,1.3382269873044
174.237269399311,1.34843217950636
174.232583200113,1.35822693051323
174.225755031561,1.37182454021696
174.218699004768,1.38508609055273
174.21135337927,1.39828685305146
174.203734592685,1.41162091486128
174.195907873442,1.42518945070505
174.187960639138,1.43901203869146
174.179978056537,1.45304913278339
174.17202424788,1.46722860033181
174.164134478794,1.48147194430655
174.153710033111,1.50049655478555
174.143396598209,1.51942385224497
174.1302962756,1.54343096783298
174.117180659634,1.56730558563899
174.103995196738,1.59116568786836
174.090752680618,1.61509108640965
174.077504162816,1.63907628935589
174.053727176528,1.68224933602097
174.029962214378,1.72538969737826
174.006192359531,1.76851635613724
173.982417053497,1.81164461336419
173.934864285842,1.89790707077553
173.892067004537,1.97554368405762
173.849269848123,2.05318025651003
173.806472727255,2.13081678533142
173.720878486347,2.28608980529184
173.635284235643,2.44136281583475
173.549689984906,2.59663583197691
173.37850148432,2.90718186306416
173.036124483465,3.52827392815185
172.351370481737,4.77045805825743
170.981862478281,7.25482631854659
168.829224057495,11.1598393267885
